Company,Symbol,Market,Event_type,Date,Quarter,EPS,Forecast,# Estimates,% Surprise,Footer Date
Opus Bank,OPB,NASDAQ -GS,Exceeded,07-24-2017,Jun 2017,0.51 ,0.17 ,2 ,200 ,07/25/2017 05:00
"HealthStream, Inc.",HSTM,NASDAQ -GS,Exceeded,07-24-2017,Jun 2017,0.08 ,0.04 ,5 ,100 ,07/25/2017 05:00
Potlatch Corporation,PCH,NASDAQ -GS,Exceeded,07-24-2017,Jun 2017,0.54 ,0.3 ,4 ,80 ,07/25/2017 05:00
Moelis & Company,MC,NYSE,Exceeded,07-24-2017,Jun 2017,0.66 ,0.51 ,4 ,29.41 ,07/25/2017 05:00
Logitech International S.A.,LOGI,NASDAQ -GS,Exceeded,07-24-2017,Jun 2017,0.22 ,0.17 ,2 ,29.41 ,07/25/2017 05:00
Swift Transportation Company,SWFT,NYSE,Exceeded,07-24-2017,Jun 2017,0.25 ,0.2 ,11 ,25 ,07/25/2017 05:00
"Werner Enterprises, Inc.",WERN,NASDAQ -GS,Exceeded,07-24-2017,Jun 2017,0.32 ,0.26 ,10 ,23.08 ,07/25/2017 05:00
Halliburton Company,HAL,NYSE,Exceeded,07-24-2017,Jun 2017,0.23 ,0.19 ,13 ,21.05 ,07/25/2017 05:00
Ryanair Holdings plc,RYAAY,NASDAQ -GS,Exceeded,07-24-2017,Jun 2017,1.78 ,1.48 ,1 ,20.27 ,07/25/2017 05:00
"CryoLife, Inc.",CRY,NYSE,Exceeded,07-24-2017,Jun 2017,0.12 ,0.1 ,1 ,20 ,07/25/2017 05:00
"Cadence Design Systems, Inc.",CDNS,NASDAQ -GS,Exceeded,07-24-2017,Jun 2017,0.25 ,0.21 ,3 ,19.05 ,07/25/2017 05:00
Arconic Inc.,ARNC,NYSE,Exceeded,07-24-2017,Jun 2017,0.32 ,0.27 ,5 ,18.52 ,07/25/2017 05:00
Scientific Games Corp,SGMS,NASDAQ -GS,Exceeded,07-24-2017,Jun 2017,-0.43 ,-0.52 ,6 ,17.31 ,07/25/2017 05:00
"Hasbro, Inc.",HAS,NASDAQ -GS,Exceeded,07-24-2017,Jun 2017,0.53 ,0.46 ,5 ,15.22 ,07/25/2017 05:00
Alphabet Inc.,GOOGL,NASDAQ -GS,Exceeded,07-24-2017,Jun 2017,5.01 ,4.39 ,11 ,14.12 ,07/25/2017 05:00
FB Financial Corporation,FBK,NYSE,Exceeded,07-24-2017,Jun 2017,0.49 ,0.43 ,1 ,13.95 ,07/25/2017 05:00
"PetMed Express, Inc.",PETS,NASDAQ -GS,Exceeded,07-24-2017,Jun 2017,0.45 ,0.4 ,2 ,12.5 ,07/25/2017 05:00
City Holding Company,CHCO,NASDAQ -GS,Exceeded,07-24-2017,Jun 2017,0.94 ,0.84 ,2 ,11.9 ,07/25/2017 05:00
"Woodward, Inc.",WWD,NASDAQ -GS,Exceeded,07-24-2017,Jun 2017,0.85 ,0.76 ,5 ,11.84 ,07/25/2017 05:00
