Company,Symbol,Event_type,Market,Brokerage,From/Initial Recommendation,To,Footer Date
Alexion Pharma,ALXN,upgraded,Nasdaq-GS,Oppenheimer,Perform,Outperform,7/28/2017 7:01:48 AM
Align Tech,ALGN,upgraded,Nasdaq-GS,BofA/Merrill,Neutral,Buy,7/28/2017 7:01:48 AM
Baidu.com,BIDU,upgraded,Nasdaq-GS,Cantor Fitzgerald,Underweight,Overweight,7/28/2017 7:01:48 AM
Boeing,BA,upgraded,NYSE,Buckingham Research,Underperform,Neutral,7/28/2017 7:01:48 AM
ConocoPhillips,COP,upgraded,NYSE,BofA/Merrill,Neutral,Buy,7/28/2017 7:01:48 AM
Diageo plc,DEO,upgraded,NYSE,Bernstein,Mkt Perform,Outperform,7/28/2017 7:01:48 AM
Domino's Pizza,DPZ,upgraded,NYSE,Longbow,Neutral,Buy,7/28/2017 7:01:48 AM
First Financial,FFBC,upgraded,Nasdaq-GS,Sandler O'Neill,Hold,Buy,7/28/2017 7:01:48 AM
Hawaiian Holdings,HA,upgraded,Nasdaq-GS,Stifel,Sell,Hold,7/28/2017 7:01:48 AM
IDEXX Labs,IDXX,upgraded,Nasdaq-GS,CL King,Neutral,Buy,7/28/2017 7:01:48 AM
J.M. Smucker,SJM,upgraded,NYSE,Jefferies,Hold,Buy,7/28/2017 7:01:48 AM
Johnson Controls,JCI,upgraded,NYSE,Gabelli & Co,Hold,Buy,7/28/2017 7:01:48 AM
KT (Korean Telco),KT,upgraded,NYSE,Nomura,Neutral,Buy,7/28/2017 7:01:48 AM
LogMeIn,LOGM,upgraded,Nasdaq-GS,KeyBanc Capital Mkts,Sector Weight,Overweight,7/28/2017 7:01:48 AM
Loomis AB,LOIMY,upgraded,Other OTC,Gabelli & Co,Hold,Buy,7/28/2017 7:01:48 AM
McCormick,MKC,upgraded,NYSE,Jefferies,Hold,Buy,7/28/2017 7:01:48 AM
SeaWorld Entertainment,SEAS,upgraded,NYSE,Citigroup,Sell,Neutral,7/28/2017 7:01:48 AM
SJW,SJW,upgraded,NYSE,Janney,Neutral,Buy,7/28/2017 7:01:48 AM
Spirit Airlines,SAVE,upgraded,Nasdaq-GS,Citigroup,Neutral,Buy,7/28/2017 7:01:48 AM
V.F. Corp,VFC,upgraded,NYSE,Susquehanna,Neutral,Positive,7/28/2017 7:01:48 AM
XL Group plc,XL,upgraded,NYSE,JP Morgan,Neutral,Overweight,7/28/2017 7:01:48 AM
AstraZeneca,AZN,downgraded,NYSE,Morgan Stanley,Overweight,Equal-Weight,7/28/2017 6:50:03 AM
Bojangles',BOJA,downgraded,Nasdaq-GS,William Blair,Outperform,Mkt Perform,7/28/2017 6:50:03 AM
Deutsche Bank,DB,downgraded,NYSE,Macquarie,Outperform,Neutral,7/28/2017 6:50:03 AM
Dr. Reddy's,RDY,downgraded,NYSE,CLSA,Underperform,Sell,7/28/2017 6:50:03 AM
Echo Global Logistics,ECHO,downgraded,Nasdaq-GS,UBS,Neutral,Sell,7/28/2017 6:50:03 AM
Elli Mae,ELLI,downgraded,NYSE,ROTH Capital,Buy,Neutral,7/28/2017 6:50:03 AM
Flowers Foods,FLO,downgraded,NYSE,Jefferies,Buy,Hold,7/28/2017 6:50:03 AM
Goodyear Tire,GT,downgraded,Nasdaq-GS,Deutsche Bank,Buy,Hold,7/28/2017 6:50:03 AM
H. Lundbeck A/S,HLUYY,downgraded,Other OTC,Deutsche Bank,Hold,Sell,7/28/2017 6:50:03 AM
Helmerich & Payne,HP,downgraded,NYSE,Citigroup,Neutral,Sell,7/28/2017 6:50:03 AM
Johnson Controls,JCI,downgraded,NYSE,Atlantic Equities,Overweight,Neutral,7/28/2017 6:50:03 AM
Just Eat plc,JSTLF,downgraded,Other OTC,Barclays,Overweight,Equal Weight,7/28/2017 6:50:03 AM
Mainsource Fincl,MSFG,downgraded,Nasdaq-GS,Keefe Bruyette,Outperform,Mkt Perform,7/28/2017 6:50:03 AM
Meta Financial,CASH,downgraded,Nasdaq-GS,FBR & Co.,Outperform,Mkt Perform,7/28/2017 6:50:03 AM
Methanex,MEOH,downgraded,Nasdaq-GS,Tudor Pickering,Buy,Hold,7/28/2017 6:50:03 AM
MicroStrategy,MSTR,downgraded,Nasdaq-GS,Deutsche Bank,Buy,Hold,7/28/2017 6:50:03 AM
NuVasive,NUVA,downgraded,Nasdaq-GS,Robert W. Baird,Outperform,Neutral,7/28/2017 6:50:03 AM
Oaktree Capital,OAK,downgraded,NYSE,Goldman,Buy,Neutral,7/28/2017 6:50:03 AM
Plantronics,PLT,downgraded,NYSE,JP Morgan,Overweight,Neutral,7/28/2017 6:50:03 AM
QEP Resources,QEP,downgraded,NYSE,JP Morgan,Overweight,Neutral,7/28/2017 6:50:03 AM
RenaissanceRe,RNR,downgraded,NYSE,JP Morgan,Overweight,Neutral,7/28/2017 6:50:03 AM
SCANA Corp,SCG,downgraded,NYSE,Gabelli & Co,Buy,Hold,7/28/2017 6:50:03 AM
SCANA Corp,SCG,downgraded,NYSE,Guggenheim,Buy,Sell,7/28/2017 6:50:03 AM
ShoreTel,SHOR,downgraded,Nasdaq-GS,Northland Capital,Outperform,Market Perform,7/28/2017 6:50:03 AM
Spirit Airlines,SAVE,downgraded,Nasdaq-GS,BofA/Merrill,Buy,Neutral,7/28/2017 6:50:03 AM
Spirit Airlines,SAVE,downgraded,Nasdaq-GS,Buckingham Research,Buy,Neutral,7/28/2017 6:50:03 AM
Spirit Airlines,SAVE,downgraded,Nasdaq-GS,Imperial Capital,Outperform,In-line,7/28/2017 6:50:03 AM
Starbucks,SBUX,downgraded,Nasdaq-GS,Guggenheim,Buy,Neutral,7/28/2017 6:50:03 AM
Starbucks,SBUX,downgraded,Nasdaq-GS,Stifel,Buy,Hold,7/28/2017 6:50:03 AM
State National Cos,SNC,downgraded,Nasdaq-GS,Singular Research,Buy,Sell,7/28/2017 6:50:03 AM
Teekay Offshore,TOO,downgraded,NYSE,Raymond James,Outperform,Mkt Perform,7/28/2017 6:50:03 AM
TTM Tech,TTMI,downgraded,Nasdaq-GS,Stifel,Buy,Hold,7/28/2017 6:50:03 AM
U.S. Steel,X,downgraded,NYSE,Citigroup,Neutral,Sell,7/28/2017 6:50:03 AM
Visteon,VC,downgraded,NYSE,Gabelli & Co,Buy,Hold,7/28/2017 6:50:03 AM
Apptio,APTI,initiated,Nasdaq-GM,Oppenheimer,Outperform,Outperform,7/28/2017 9:23:46 AM
Cision,CISN,initiated,NYSE,Citigroup,Buy,Buy,7/28/2017 9:23:46 AM
Columbus McKinnon,CMCO,initiated,Nasdaq-GS,ROTH Capital,Buy,Buy,7/28/2017 9:23:46 AM
Pitney Bowes,PBI,initiated,NYSE,Loop Capital,Hold,Hold,7/28/2017 9:23:46 AM
ShotSpotter,SSTI,initiated,Nasdaq-CM,Imperial Capital,Outperform,Outperform,7/28/2017 9:23:46 AM
Acadia Healthcare,ACHC,reiterated,Nasdaq-GS,Mizuho,,Buy,7/28/2017 3:58:11 PM
Amazon,AMZN,reiterated,Nasdaq-GS,Aegis Capital,,Buy,7/28/2017 3:58:11 PM
AtriCure,ATRC,reiterated,Nasdaq-GM,Needham,,Buy,7/28/2017 3:58:11 PM
Baxter,BAX,reiterated,NYSE,UBS,,Neutral,7/28/2017 3:58:11 PM
Blucora,BCOR,reiterated,Nasdaq-GS,Barrington Research,,Outperform,7/28/2017 3:58:11 PM
